BALANCE,BALANCE_FREQUENCY,CASH_ADVANCE,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,CREDIT_LIMIT,CUST_ID,Fylld_Minimum_Payments,Index (kluster),Index,INSTALLMENTS_PURCHASES,MINIMUM_PAYMENTS,ONEOFF_PURCHASES,PAYMENTS,ONEOFF_PURCHASES_FREQUENCY,PRC_FULL_PAYMENT,PURCHASES_INSTALLMENTS_FREQUENCY,PURCHASES_FREQUENCY,PURCHASES,PURCHASES_TRX,TENURE
40.900749,0.818182,0,0,0,1000,C10001,139.509787,Kluster1,1,95.4,139.509787,0,201.802084,0,0,0.083333,0.166667,95.4,2,12
3202.467416,0.909091,6442.945483,0.25,4,7000,C10002,1072.340217,Kluster1,2,0,1072.340217,0,4103.032597,0,0.222222,0,0,0,0,12
2495.148862,1,0,0,0,7500,C10003,627.284787,Kluster1,3,0,627.284787,773.17,622.066742,1,0,0,1,773.17,12,12
1666.670542,0.636364,205.788017,0.083333,1,7500,C10004,1297.11,Kluster1,4,0,1297.11,1499,0,0.083333,0,0,0.083333,1499,1,12
817.714335,1,0,0,0,1200,C10005,244.791237,Kluster1,5,0,244.791237,16,678.334763,0.083333,0,0,0.083333,16,1,12
1809.828751,1,0,0,0,1800,C10006,2407.246035,Kluster1,6,1333.28,2407.246035,0,1400.05777,0,0,0.583333,0.666667,1333.28,8,12
627.260806,1,0,0,0,13500,C10007,198.065894,Kluster1,7,688.38,198.065894,6402.63,6354.314328,1,1,1,1,7091.01,64,12
1823.652743,1,0,0,0,2300,C10008,532.03399,Kluster1,8,436.2,532.03399,0,679.065082,0,0,1,1,436.2,12,12
1014.926473,1,0,0,0,7000,C10009,311.963409,Kluster1,9,200,311.963409,661.49,688.278568,0.083333,0,0.25,0.333333,861.49,5,12
152.225975,0.545455,0,0,0,11000,C10010,100.302262,Kluster1,10,0,100.302262,1281.6,1164.770591,0.166667,0,0,0.166667,1281.6,3,12
1293.124939,1,0,0,0,1200,C10011,2172.697765,Kluster1,11,920.12,2172.697765,0,1083.301007,0,0,1,1,920.12,12,12
630.794744,0.818182,0,0,0,2000,C10012,155.549069,Kluster1,12,0,155.549069,1492.18,705.618627,0.25,0,0,0.25,1492.18,6,12
1516.92862,1,0,0,0,3000,C10013,490.207013,Kluster1,13,717.76,490.207013,2500.23,608.263689,0.25,0.25,0.916667,1,3217.99,26,12
921.693369,1,0,0,0,7500,C10014,251.137986,Kluster1,14,1717.97,251.137986,419.96,1655.891435,0.166667,0.083333,0.75,0.75,2137.93,26,12
2772.772734,1,346.81139,0.083333,1,3000,C10015,989.962866,Kluster1,15,0,989.962866,0,805.647974,0,0,0,0,0,0,12
6886.213231,1,2301.491267,0.166667,4,8000,C10016,2109.90649,Kluster2,16,1611.7,2109.90649,0,1993.439277,0,0,0.5,0.5,1611.7,11,12
2072.074354,0.875,2784.274703,0.25,3,3000,C10017,376.579631,Kluster1,17,0,376.579631,0,391.974562,0,0,0,0,0,0,8
41.089489,0.454545,0,0,0,2500,C10018,73.203221,Kluster1,18,519,73.203221,0,254.590662,0,0.25,0.333333,0.416667,519,8,12
1989.072228,1,0,0,0,13000,C10019,744.613395,Kluster1,19,338.35,744.613395,166,1720.837373,0.083333,0,0.583333,0.666667,504.35,9,12
3577.970933,1,0,0,0,4000,C10020,12465.54938,Kluster2,20,398.64,12465.54938,0,1053.980464,0,0,1,1,398.64,12,12
2016.684686,1,0,0,0,2000,C10021,13557.29726,Kluster1,21,176.68,13557.29726,0,223.0686,0,0,0.666667,0.666667,176.68,8,12
6369.531318,1,229.028245,0.333333,6,11250,C10022,1659.775075,Kluster2,22,449.91,1659.775075,5910.04,2077.959051,0.916667,0,1,1,6359.95,92,12
132.34224,0.636364,0,0,0,1800,C10023,86.329554,Kluster1,23,815.9,86.329554,0,2359.629958,0,0,1,1,815.9,17,12
3800.151377,0.818182,7974.415626,0.333333,13,9000,C10024,1425.426525,Kluster2,24,793.79,1425.426525,3454.56,9479.043842,0.083333,0,0.916667,1,4248.35,13,12
5368.571219,1,798.949863,0.363636,4,6000,C10025,1657.002877,Kluster2,25,0,1657.002877,0,1422.726707,0,0,0,0,0,0,11
169.781679,1,0,0,0,3000,C10026,163.005536,Kluster1,26,399.6,163.005536,0,215.306142,0,0,1,1,399.6,12,12
1615.96724,1,244.840485,0.25,5,1700,C10027,971.183209,Kluster1,27,0,971.183209,102,890.178845,0.166667,0,0,0.166667,102,2,12
125.694817,1,0,0,0,1000,C10028,164.748819,Kluster1,28,233.28,164.748819,0,207.773715,0,0,1,1,233.28,12,12
7152.864372,1,2236.145259,0.833333,16,10500,C10029,1648.851345,Kluster2,29,182.5,1648.851345,204.55,1601.448347,0.166667,0,0.416667,0.666667,387.05,8,12
22.06349,1,0,0,0,6900,C10030,159.684442,Kluster1,30,100,159.684442,0,160.767773,0,0,0.416667,0.416667,100,5,12
12136.21996,1,3183.583301,0.5,10,13000,C10031,3292.01503,Kluster2,31,2024.81,3292.01503,1013.2,4230.323491,0.166667,0,1,1,3038.01,64,12
1162.273324,1,175.815755,0.166667,2,6000,C10032,256.848991,Kluster1,32,947.71,256.848991,400,645.998299,0.083333,0,1,1,1347.71,45,12
6732.823064,1,1189.533753,0.166667,3,10500,C10033,2506.745366,Kluster2,33,0,2506.745366,324.95,1720.118876,0.083333,0,0,0.083333,324.95,3,12
125.660453,1,0,0,0,1200,C10034,196.301885,Kluster1,34,0,196.301885,636.79,423.449696,0.916667,0.3,0,0.916667,636.79,11,12
3517.101616,0.727273,0,0,0,11000,C10035,17862.55831,Kluster2,35,547.28,17862.55831,0,8735.607835,0,0,1,1,547.28,14,12
1656.350781,1,99.264367,0.083333,1,1800,C10036,634.569311,Kluster1,36,0,634.569311,0,351.500199,0,0,0,0,0,0,12
7427.076941,1,8873.375046,0.727273,11,9000,C10037,1986.843608,Kluster2,37,0,1986.843608,0,1636.361601,0,0,0,0,0,0,11
4047.480828,1,1697.660901,0.333333,7,5000,C10038,1541.141605,Kluster2,38,738.38,1541.141605,1642.17,1617.894416,0.5,0,0.75,0.75,2380.55,41,12
6269.418144,1,2925.699862,0.333333,12,9000,C10039,2049.408839,Kluster2,39,0,2049.408839,204,1237.111661,0.083333,0,0,0.083333,204,2,12
1411.60223,0.454545,6173.682877,0.333333,6,7500,C10040,719.948985,Kluster1,40,0,719.948985,963.24,20071.07544,0.083333,0.333333,0,0.083333,963.24,6,12
663.44781,0.727273,3133.063934,0.25,3,1800,C10041,283.333445,Kluster1,41,0,283.333445,0,3067.05783,0,0.166667,0,0,0,0,12
784.889762,0.909091,2188.419607,0.25,11,3000,C10043,363.142736,Kluster1,42,740.29,363.142736,786.3,1262.309666,0.416667,0.111111,0.333333,0.583333,1526.59,27,12
4104.710798,1,0,0,0,4500,C10044,1801.264841,Kluster2,43,0,1801.264841,203.82,868.275275,0.083333,0,0,0.083333,203.82,1,12
1360.742377,1,1481.587093,0.083333,1,1500,C10045,321.354137,Kluster1,44,0,321.354137,0,378.294227,0,0,0,0,0,0,12
5315.945594,1,0,0,0,8500,C10046,1318.71492,Kluster2,45,1055.64,1318.71492,469.8,1430.341501,0.333333,0,1,1,1525.44,20,12
2242.311686,1,184.648692,0.166667,2,2400,C10047,1297.11,Kluster1,46,340,1297.11,97,0,0.083333,0,0.333333,0.333333,437,5,12
474.447149,0.5,1013.659552,0.125,1,1700,C10048,147.199792,Kluster1,47,109.74,147.199792,0,176.013005,0,0,0.25,0.375,109.74,3,8
3910.111237,1,1980.873201,0.5,7,4200,C10049,1297.11,Kluster2,48,0,1297.11,0,0,0,0,0,0,0,0,12
229.867179,1,0,0,0,3300,C10050,175.657825,Kluster1,49,987.67,175.657825,1402.93,2543.953559,0.666667,0.916667,1,1,2390.6,87,12
863.809833,1,695.097159,0.083333,2,4000,C10051,286.448719,Kluster1,50,0,286.448719,507.5,587.866451,0.166667,0.083333,0,0.166667,507.5,3,12
4931.331857,1,8530.648614,0.875,37,12000,C10052,1012.415961,Kluster2,51,255.35,1012.415961,646.07,8113.297346,0.375,0,0.25,0.625,901.42,9,8
1078.888565,1,0,0,0,2500,C10053,1322.446601,Kluster1,52,886.11,1322.446601,2221.74,1399.82834,0.583333,0,0.5,0.666667,3107.85,18,12
1565.681099,1,321.359135,0.25,3,3500,C10054,581.481917,Kluster1,53,0,581.481917,0,691.825279,0,0,0,0,0,0,12
464.674156,0.888889,1981.265503,0.111111,1,3000,C10055,132.446091,Kluster1,54,0,132.446091,1979.22,3110.052742,0.666667,0.2,0,0.666667,1979.22,11,9
6.660517,0.636364,0,0,0,1000,C10056,1297.11,Kluster1,55,310,1297.11,0,417.016763,0,0,0.666667,0.666667,310,8,12
1311.995984,1,0,0,0,6000,C10057,1297.11,Kluster1,56,0,1297.11,1283.9,0,0.25,0,0,0.25,1283.9,6,12
3625.218146,1,668.468743,0.416667,5,4000,C10058,1297.11,Kluster2,57,0,1297.11,313.27,0,0.25,0,0,0.25,313.27,4,12
2386.330629,1,0,0,0,7500,C10059,1311.514878,Kluster1,58,428.53,1311.514878,4789.09,5678.729613,0.916667,0.083333,0.5,0.916667,5217.62,42,12
3971.138765,1,224.575517,0.181818,3,4000,C10060,1600.212243,Kluster2,59,0,1600.212243,0,764.938728,0,0,0,0,0,0,11
5493.90406,1,970.591332,0.333333,4,6000,C10061,1895.02617,Kluster2,60,229,1895.02617,0,2110.557023,0,0,0.333333,0.416667,229,6,12
1879.114033,0.727273,0,0,0,6500,C10062,548.105836,Kluster1,61,0,548.105836,113,3509.686561,0.166667,0,0,0.166667,113,2,12
1555.793701,1,0,0,0,1600,C10063,837.215674,Kluster1,62,0,837.215674,66.2,338.083661,0.083333,0,0,0.083333,66.2,1,12
809.582978,0.909091,3819.672466,0.545455,7,4150,C10064,241.645387,Kluster1,63,0,241.645387,0,4372.148648,0,0.090909,0,0,0,0,11
7.152356,0.090909,0,0,0,1600,C10065,1297.11,Kluster1,64,0,1297.11,840,0,0.083333,0,0,0.083333,840,1,12
1923.886805,1,1605.949371,0.083333,4,1850,C10067,3266.996777,Kluster1,65,1887.64,3266.996777,0,3688.045998,0,0.083333,1,1,1887.64,61,12
1758.059987,1,0,0,0,1800,C10068,897.905444,Kluster1,66,87.12,897.905444,325.21,777.451648,0.333333,0,0.166667,0.583333,412.33,11,12
809.847455,0.875,908.423608,0.125,1,1500,C10069,179.412493,Kluster1,67,0,179.412493,0,146.074769,0,0,0,0,0,0,8
1576.305029,1,382.908547,0.416667,6,2500,C10070,352.883804,Kluster1,68,0,352.883804,0,540.022225,0,0,0,0,0,0,12
3990.523579,1,0,0,0,6000,C10071,1001.607366,Kluster2,69,72.9,1001.607366,190.6,6876.836205,0.083333,0.083333,0.583333,0.666667,263.5,8,12
1699.435486,1,0,0,0,1700,C10072,923.505868,Kluster1,70,0,923.505868,1363.69,1623.816348,0.333333,0,0,0.333333,1363.69,4,12
5487.683724,1,625.399386,0.333333,4,6250,C10073,2180.881868,Kluster2,71,419.1,2180.881868,0,1288.214909,0,0,0.833333,0.916667,419.1,11,12
2990.422186,0.909091,27296.48576,0.833333,27,7000,C10074,1107.030803,Kluster1,72,2859.18,1107.030803,1664.09,28232.69446,0.5,0.454545,0.583333,0.666667,4523.27,33,12
656.01301,1,1474.349901,0.125,3,7000,C10075,140.983193,Kluster1,73,0,140.983193,0,910.457985,0,0.25,0,0,0,0,8
1808.972419,1,0,0,0,2250,C10077,622.757696,Kluster1,74,210.82,622.757696,503.08,889.017418,0.1,0,0.4,0.5,713.9,8,10
532.334517,0.909091,0,0,0,6000,C10078,175.510344,Kluster1,75,275.3,175.510344,516.64,1305.177304,0.090909,0,0.181818,0.272727,791.94,7,11
5860.433624,1,0,0,0,6000,C10079,2161.428274,Kluster2,76,312.37,2161.428274,249.5,1990.044998,0.166667,0,0.75,0.833333,561.87,14,12
1727.638449,1,0,0,0,11000,C10080,623.656993,Kluster1,77,0,623.656993,606.11,2959.920544,1,0,0,1,606.11,17,12
578.809679,1,0,0,0,1500,C10081,190.186542,Kluster1,78,320,190.186542,0,1438.910569,0,0,0.666667,0.75,320,8,12
1205.716678,1,38.325801,0.083333,1,1200,C10082,8242.687678,Kluster1,79,0,8242.687678,0,29.278671,0,0,0,0,0,0,12
